CCAA,YEAR,CCAAYEARACT,CCAAYEARANT,PIB_VALOR,PIB_NORMALIZADO,PIB_VAR_INTERANUAL,RATIO_NORM,PARO_TASA,PARO_VAR_INTERANUAL
ANDALUCIA,1980,ANDALUCIA1980,ANDALUCIA1979,"11,658",100,0,0.008577801,17.41,0
ANDALUCIA,1981,ANDALUCIA1981,ANDALUCIA1980,"13,048",112,"1,390",,19.795,2.385
ANDALUCIA,1982,ANDALUCIA1982,ANDALUCIA1981,"15,353",132,"2,305",,20.5375,0.7425
ANDALUCIA,1983,ANDALUCIA1983,ANDALUCIA1982,"17,657",151,"2,304",,22.4125,1.875
ANDALUCIA,1984,ANDALUCIA1984,ANDALUCIA1983,"19,870",170,"2,213",,28.905,6.4925
ANDALUCIA,1985,ANDALUCIA1985,ANDALUCIA1984,"22,632",194,"2,762",,29.6775,0.7725
ANDALUCIA,1986,ANDALUCIA1986,ANDALUCIA1985,"25,803",221,"3,171",,30.085,0.4075
ANDALUCIA,1987,ANDALUCIA1987,ANDALUCIA1986,"29,334",252,"3,531",,30.49,0.405
ANDALUCIA,1988,ANDALUCIA1988,ANDALUCIA1987,"32,427",278,"3,093",,28.6775,-1.8125
ANDALUCIA,1989,ANDALUCIA1989,ANDALUCIA1988,"35,921",308,"3,494",,26.9975,-1.68
ANDALUCIA,1990,ANDALUCIA1990,ANDALUCIA1989,"41,133",353,"5,212",,25.525,-1.4725
ANDALUCIA,1991,ANDALUCIA1991,ANDALUCIA1990,"45,140",387,"4,007",,25.7375,0.2125
ANDALUCIA,1992,ANDALUCIA1992,ANDALUCIA1991,"48,037",412,"2,897",,28.18,2.4425
ANDALUCIA,1993,ANDALUCIA1993,ANDALUCIA1992,"49,018",420,981,,32.9725,4.7925
ANDALUCIA,1994,ANDALUCIA1994,ANDALUCIA1993,"52,275",448,"3,257",,34.59,1.6175
ANDALUCIA,1995,ANDALUCIA1995,ANDALUCIA1994,"55,690",478,"3,415",,33.91,-0.68
