FECHA,CCAA,YEAR,MONTH,SIGLAS,CANDIDATURA,VOTOS,PORCENTAJE_VALIDOS,PORCENTAJE_CENSO,PORCENTAJE_CANDIDATURAS
1977_06,NACIONAL,1977,6,UCD,UNION DE CENTRO DEMOCRATICO,"6,310,391",0.3444,0.2676,0.3452
1977_06,NACIONAL,1977,6,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,"5,371,866",0.2932,0.2278,0.2939
1977_06,NACIONAL,1977,6,PCE,PARTIDO COMUNISTA DE ESPAÑA,"1,709,890",0.0933,0.0725,0.0935
1977_06,NACIONAL,1977,6,AP,FEDERACION DE PARTIDOS DE ALIANZA POPULAR,"1,504,771",0.0821,0.0638,0.0823
1977_06,NACIONAL,1977,6,PSP-US,PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA,"816,582",0.0446,0.0346,0.0447
1977_06,NACIONAL,1977,6,PDPC,COALICION ELECT.PACTE DEMOCRATIC PER CATALUNYA,"514,647",0.0281,0.0218,0.0282
1977_06,NACIONAL,1977,6,PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,"296,193",0.0162,0.0126,0.0162
1977_06,NACIONAL,1977,6,FDC-EDC,COALICION ELECT. EQUIPO DE LA DEMOCRACIA CRISTIANA,"215,841",0.0118,0.0092,0.0118
1977_06,NACIONAL,1977,6,UDC-IDCC,UNIO DEL CENTRE I LA DEM. CRISTIANA DE CATALUNYA,"172,791",0.0094,0.0073,0.0095
1977_06,NACIONAL,1977,6,EC-FED,COALICION ELECTORAL ESQUERRA DE CATALUÑA,"143,954",0.0079,0.0061,0.0079
1977_06,NACIONAL,1977,6,FDI,FRENTE DEMOCRATICO DE IZQUIERDAS,"122,608",0.0067,0.0052,0.0067
1977_06,NACIONAL,1977,6,ASDCI,ALIANZA SOCIALISTA DEMOCRATICA,"101,916",0.0056,0.0043,0.0056
1977_06,NACIONAL,1977,6,AET,AGRUPACION ELECTORAL DE TRABAJADORES,"77,575",0.0042,0.0033,0.0042
1977_06,NACIONAL,1977,6,AN18,ALIANZA NACIONAL 18 DE JULIO,"67,336",0.0037,0.0029,0.0037
1977_06,NACIONAL,1977,6,RSE,REFORMA SOCIAL ESPAÑOLA,"64,241",0.0035,0.0027,0.0035
1977_06,NACIONAL,1977,6,EE,EUSKADIKO EZKERRA,"61,417",0.0034,0.0026,0.0034
1977_06,NACIONAL,1977,6,FJONSA,FALANGE ESPAÑOLA DE LAS JONS AUTENTICA,"46,548",0.0025,0.002,0.0025
1977_06,NACIONAL,1977,6,FUT,FRENTE UNIDAD DE LOS TRABAJADORES,"41,208",0.0022,0.0017,0.0023
1977_06,NACIONAL,1977,6,CAIC,CANDIDATURA ARAGONESA INDEPENDIENTE DE CENTRO,"37,183",0.002,0.0016,0.002
1977_06,NACIONAL,1977,6,ESB,PARTIDO SOCIALISTA VASCO,"36,002",0.002,0.0015,0.002
1977_06,NACIONAL,1977,6,PSPV,PARTIDO SOCIALISTA DEL PAIS VALENCIA,"31,138",0.0017,0.0013,0.0017
1977_06,NACIONAL,1977,6,INDEP,CANDIDATURA INDEPENDIENTE DE CENTRO,"29,834",0.0016,0.0013,0.0016
1977_06,NACIONAL,1977,6,PSG,PARTIDO SOCIALISTA GALEGO,"27,197",0.0015,0.0012,0.0015
1977_06,NACIONAL,1977,6,DCV,DEMOCRACIA CRISTIANA VASCA,"26,100",0.0014,0.0011,0.0014
1977_06,NACIONAL,1977,6,FJONS,FALANGE ESPAÑOLA DE LAS JONS,"25,017",0.0014,0.0011,0.0014
1977_06,NACIONAL,1977,6,UNAI,UNION NAVARRA DE IZQUIERDA,"24,489",0.0013,0.001,0.0013
1977_06,NACIONAL,1977,6,BNPG,BLOQUE NACIONAL POPULAR GALLEGO,"22,771",0.0012,0.001,0.0012
1977_06,NACIONAL,1977,6,AFN,ALIANZA FORAL NAVARRA,"21,900",0.0012,0.0009,0.0012
1977_06,NACIONAL,1977,6,URA,UNIDAD REGIONAL ANDALUZA,"21,350",0.0012,0.0009,0.0012
1977_06,NACIONAL,1977,6,PSOE-H,P. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO),"21,242",0.0012,0.0009,0.0012
1977_06,NACIONAL,1977,6,LLIGA,LLIGA DE CATALUNYA PARTIT LIBERAL CATALA,"20,109",0.0011,0.0009,0.0011
1977_06,NACIONAL,1977,6,ANEPA-CP,ASOC.NAL. PARA EL ESTUDIO DE PROBLEMAS ACTUALES,"18,113",0.001,0.0008,0.001
1977_06,NACIONAL,1977,6,UAN,UNION AUTONOMISTA DE NAVARRA,"18,079",0.001,0.0008,0.001
1977_06,NACIONAL,1977,6,PCU,PUEBLO CANARIO UNIDO,"17,717",0.001,0.0008,0.001
1977_06,NACIONAL,1977,6,DIV,DEMOCRATAS INDEPENDIENTES VASCOS,"15,505",0.0008,0.0007,0.0008
1977_06,NACIONAL,1977,6,CUPS,UNITAT POPULAR PER SOCIALISME,"12,040",0.0007,0.0005,0.0007
1977_06,NACIONAL,1977,6,UAB,UNIO AUTONOMISTA,"11,914",0.0007,0.0005,0.0007
1977_06,NACIONAL,1977,6,CCIA,CENTRO IZQUIERDA DE ALBACETE,"11,879",0.0006,0.0005,0.0006
1977_06,NACIONAL,1977,6,URAS,UNIDAD REGIONALISTA,"10,821",0.0006,0.0005,0.0006
1977_06,NACIONAL,1977,6,FNI,FRENTE NAVARRO INDEPENDIENTE,"10,606",0.0006,0.0004,0.0006
1977_06,NACIONAL,1977,6,PPCAN,PARTIDO POPULAR CANARIO,"9,650",0.0005,0.0004,0.0005
1977_06,NACIONAL,1977,6,DSCC,DEMOCRACIA SOCIAL CRISTIANA DE CATALUÑA,"9,157",0.0005,0.0004,0.0005
1977_06,NACIONAL,1977,6,MS,MOVIMIENTO SOCIALISTA,"8,741",0.0005,0.0004,0.0005
1977_06,NACIONAL,1977,6,MFA,MONTEJURRA-FEDERALISMO-AUTOGESTION,"8,461",0.0005,0.0004,0.0005
1977_06,NACIONAL,1977,6,ASA,AGRUP.ELEC. Y PART.INDEP. ACCION SOCIAL AGRARIA,"8,439",0.0005,0.0004,0.0005
1977_06,NACIONAL,1977,6,CJA,ASOCIACION CIRCULOS JOSE ANTONIO,"8,184",0.0004,0.0003,0.0004
1977_06,NACIONAL,1977,6,INDEP,CANDIDATURA INDEPENDIENTE,"6,472",0.0004,0.0003,0.0004
1977_06,NACIONAL,1977,6,ANV,ACCION NACIONALISTA VASCA,"6,435",0.0004,0.0003,0.0004
1977_06,NACIONAL,1977,6,INDEP,CANDIDATURA INDEP. AL CONGRESO PER PROV. GIRONA,"6,411",0.0003,0.0003,0.0004
1977_06,NACIONAL,1977,6,INDEP,INDEPENDIENTE,"6,158",0.0003,0.0003,0.0003
1977_06,NACIONAL,1977,6,DCAR,DEMOCRACIA CRISTIANA ARAGONESA,"6,014",0.0003,0.0003,0.0003
1977_06,NACIONAL,1977,6,INDEP,CANDIDATURA RIOJANA INDEPENDIENTE,"5,682",0.0003,0.0002,0.0003
1977_06,NACIONAL,1977,6,FN,ASOCIACION POLITICA FUERZA NUEVA,"5,541",0.0003,0.0002,0.0003
1977_06,NACIONAL,1977,6,CUP,UNIDAD POPULAR,"5,206",0.0003,0.0002,0.0003
1977_06,NACIONAL,1977,6,PSCAN,PARTIDO SOCIALISTA DE CANARIAS,"5,110",0.0003,0.0002,0.0003
1977_06,NACIONAL,1977,6,PIM,PARTIDO INDEPENDIENTE DE MADRID,"4,814",0.0003,0.0002,0.0003
1977_06,NACIONAL,1977,6,FAA,FRENTE AUTONOMISTA ARAGONES,"4,791",0.0003,0.0002,0.0003
1977_06,NACIONAL,1977,6,PPROV,PARTIDO PROVERISTA,"4,590",0.0003,0.0002,0.0003
1977_06,NACIONAL,1977,6,INDEP,INDEPENDIENTE,"4,530",0.0002,0.0002,0.0002
1977_06,NACIONAL,1977,6,ICU,IZQUIERDA CANARIA UNIDA,"4,118",0.0002,0.0002,0.0002
1977_06,NACIONAL,1977,6,PSDE,PARTIDO SOCIALISTA DEMOCRATICO ESPAÑOL,"3,786",0.0002,0.0002,0.0002
1977_06,NACIONAL,1977,6,PDG,PARTIDO DEMOCRATA GALLEGO,"3,196",0.0002,0.0001,0.0002
1977_06,NACIONAL,1977,6,UDIB,UNION DEMOCRATA DE LAS ISLAS BALEARES,"2,946",0.0002,0.0001,0.0002
1977_06,NACIONAL,1977,6,INDEP,CANDIDATURA INDEPENDIENTE,"2,737",0.0001,0.0001,0.0001
1977_06,NACIONAL,1977,6,FL,FEDERACION LABORISTA,"2,631",0.0001,0.0001,0.0001
1977_06,NACIONAL,1977,6,INDEP,INDEPENDIENTE,"2,622",0.0001,0.0001,0.0001
1977_06,NACIONAL,1977,6,INDEP,AGRUPACION RIOJANA INDEPENDIENTE,"2,399",0.0001,0.0001,0.0001
1977_06,NACIONAL,1977,6,INDEP,INDEPENDIENTE,"2,347",0.0001,0.0001,0.0001
1977_06,NACIONAL,1977,6,PRSV,PARTIDO RADICAL SOCIALISTA DE VALENCIA,"2,345",0.0001,0.0001,0.0001
1977_06,NACIONAL,1977,6,INDEP,ELECTORS CARLINS DEL PAIS VALENCIA,"2,252",0.0001,0.0001,0.0001
1977_06,NACIONAL,1977,6,INDEP,CANDIDATURA INDEPENDIENTE,"1,684",0.0001,0.0001,0.0001
1977_06,NACIONAL,1977,6,AEICYU,AGRUPACION ELECTORAL INDEP. DEL CAMPO Y LA CIUDAD,"1,623",0.0001,0.0001,0.0001
1977_06,NACIONAL,1977,6,CUIR,CANDIDATURA UNITARIA DE LA IZQUIERDA REGIONALISTA,"1,504",0.0001,0.0001,0.0001
1977_06,NACIONAL,1977,6,CIPYE,CANDIDATOS INDEP. DE LA PEQUEÑA Y MEDIANA EMPRESA,"1,480",0.0001,0.0001,0.0001
1977_06,NACIONAL,1977,6,ADEC,ASOCIACION DE ELECTORES DE CEUTA,"1,099",0.0001,0,0.0001
1977_06,NACIONAL,1977,6,ADC,AGRUPACION DE ELECTORES CARLISTAS,938,0.0001,0,0.0001
1977_06,NACIONAL,1977,6,FEI,FALANGE ESPAÑOLA INDEPENDIENTE,855,0,0,0
1977_06,NACIONAL,1977,6,PAE,PARTIDO AGRARIO ESPAÑOL,833,0,0,0
1977_06,NACIONAL,1977,6,PLI,PARTIDO LIBERAL INDEPENDIENTE,805,0,0,0
1977_06,NACIONAL,1977,6,INDEP,INDEPENDIENTE,492,0,0,0
1977_06,NACIONAL,1977,6,BAI,BLOQUE ANDALUZ DE IZQUIERDA,226,0,0,0
1977_06,NACIONAL,1977,6,CAI,CANDIDATURA ANDALUZA DE IZQUIERDA,0,0,0,0
1979_07,NACIONAL,1979,7,UCD,UNION DE CENTRO DEMOCRATICO,"6,268,593",0.3484,0.2336,0.3495
1979_07,NACIONAL,1979,7,PSOE,PARTIDO SOCIALISTA OBRERO ESPAÑOL,"5,469,813",0.304,0.2038,0.305
1979_07,NACIONAL,1979,7,PCE,PARTIDO COMUNISTA DE ESPAÑA,"1,938,487",0.1077,0.0722,0.1081
1979_07,NACIONAL,1979,7,CD,COALICION DEMOCRATICA,"1,060,330",0.0589,0.0395,0.0591
1979_07,NACIONAL,1979,7,CIU,COALICION CONVERGENCIA Y UNIO,"483,353",0.0269,0.018,0.027
1979_07,NACIONAL,1979,7,UN,PARTIDO UNION NACIONAL,"378,964",0.0211,0.0141,0.0211
1979_07,NACIONAL,1979,7,PSA-PA,PARTIDO ANDALUCISTA,"325,842",0.0181,0.0121,0.0182
1979_07,NACIONAL,1979,7,PNV,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,"296,597",0.0165,0.0111,0.0165
1979_07,NACIONAL,1979,7,PTE,PARTIDO DEL TRABAJO DE ESPAÑA,"192,798",0.0107,0.0072,0.0108
1979_07,NACIONAL,1979,7,HB,HERRI BATASUNA,"172,110",0.0096,0.0064,0.0096
1979_07,NACIONAL,1979,7,PSOE-H,PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO),"133,869",0.0074,0.005,0.0075
1979_07,NACIONAL,1979,7,ORT,ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES,"127,517",0.0071,0.0048,0.0071
1979_07,NACIONAL,1979,7,ERFN,ESQUERRA REPUBLICANA DE CATALUNYA - FRONT NACIONAL,"123,452",0.0069,0.0046,0.0069
1979_07,NACIONAL,1979,7,EE,EUSKADIKO EZKERRA,"85,677",0.0048,0.0032,0.0048
1979_07,NACIONAL,1979,7,MC-OIC,MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA,"84,856",0.0047,0.0032,0.0047
1979_07,NACIONAL,1979,7,BNPG,BLOQUE NACIONAL POPULAR GALLEGO,"60,889",0.0034,0.0023,0.0034
1979_07,NACIONAL,1979,7,C-UPC,UNION DEL PUEBLO CANARIO,"58,953",0.0033,0.0022,0.0033
1979_07,NACIONAL,1979,7,BEAN,BLOC D'ESQUERRAD'ALLIBERAMENT NACIONAL,"56,582",0.0031,0.0021,0.0032
1979_07,NACIONAL,1979,7,PG-POG-PSG,UNIDADE GALEGA,"55,555",0.0031,0.0021,0.0031
1979_07,NACIONAL,1979,7,IR,IZQUIERDA REPUBLICANA,"55,384",0.0031,0.0021,0.0031
